ObjectId,ObjectName,ObjectType,Project,Namespace,Layer,Feature,Responsibility
O001,Browser/User,Actor,External,,UI,All,Uses Web application
O002,MicroEMR.Web Host,Application,MicroEMR.Web,MicroEMR.Web,UI,All,MVC Razor OIDC client and typed API clients
O003,MicroEMR.Auth Host,Application,MicroEMR.Auth,MicroEMR.Auth,Authentication,Authentication,Identity and OpenIddict authorization server
O004,MicroEMR.Api Host,Application,MicroEMR.Api,MicroEMR.Api,API,All,JWT protected clinical HTTP API
O005,MicroEMR.Application,Project,MicroEMR.Application,MicroEMR.Application,Application,All,Contracts DTOs and application services
O006,MicroEMR.Infrastructure,Project,MicroEMR.Infrastructure,MicroEMR.Infrastructure,Infrastructure,All,SQL repositories tenant services and storage
O007,MicroEMR.Core,Project,MicroEMR.Core,MicroEMR.Core,Domain,All,Tenant and domain primitives
O008,ApplicationDbContext,DbContext,MicroEMR.Auth,MicroEMR.Auth.Data,Authentication,Authentication,Identity and OpenIddict EF persistence
O009,AuthorizationController,Controller,MicroEMR.Auth,MicroEMR.Auth.Controllers,Authentication,Authentication,OIDC authorization claims and logout
O010,AccountController Auth,Controller,MicroEMR.Auth,MicroEMR.Auth.Controllers,Authentication,Tenant Selection,Login and tenant selection UI
O011,UserTenantResolver,Service,MicroEMR.Auth,MicroEMR.Auth.Services.Tenancy,Authentication,Tenant Selection,Resolve membership or require selection
O012,TenantClaimEnricher,Service,MicroEMR.Auth,MicroEMR.Auth.Services.Tenancy,Authentication,Tenant Selection,Add claims from validated membership
O013,PendingTenantSelectionStore,Service,MicroEMR.Auth,MicroEMR.Auth.Services.Tenancy,Authentication,Tenant Selection,Short lived continuation state
O014,Auth Database,Database,External,,Database,Authentication,Identity and OpenIddict data
O015,Platform Database,Database,External,,Database,Tenancy,Tenant registry assignments memberships and roles
O016,Tenant Clinical Database,Database,External,,Database,Clinical,Per tenant clinical data and procedures
O017,TenantResolutionMiddleware,Middleware,MicroEMR.Api,MicroEMR.Api.Middleware,API,Tenancy,Validate tenant and membership and set context
O018,TenantContextAccessor,Service,MicroEMR.Application,MicroEMR.Application.Tenancy,Application,Tenancy,Scoped current tenant holder
O019,AuthenticatedClinicalUserAccessor,Service,MicroEMR.Api,MicroEMR.Api.ClinicalUsers,API,Security,Map token subject to tenant clinical user
